fiber_id,area_px,centroid_x,centroid_y,perimeter_px,equiv_diameter_px,circularity,aspect_ratio,bbox_x,bbox_y,bbox_width,bbox_height
276,14744.50,7096.44,3381.39,584.88,137.02,0.54,0.84,7010,3280,163,193
277,14514.00,2271.25,4271.94,899.66,135.94,0.23,1.95,2144,4203,257,132
278,14513.00,6554.19,7116.16,1024.17,135.94,0.17,1.31,6452,7038,254,194
279,14488.50,5215.79,5708.68,529.57,135.82,0.65,0.78,5146,5630,135,173
280,14471.00,7296.20,3352.76,540.62,135.74,0.62,0.57,7239,3248,107,189
281,14459.50,3365.42,5273.51,867.48,135.68,0.24,0.79,3281,5154,168,212
282,14442.00,2752.52,6024.86,1085.40,135.60,0.15,0.95,2661,5920,187,197
283,14426.50,2518.24,2777.54,597.57,135.53,0.51,1.79,2408,2723,202,113
284,14419.00,3045.13,7084.53,554.22,135.49,0.59,1.37,2959,7016,179,131
285,14391.00,2883.97,6110.63,1211.57,135.36,0.12,1.27,2787,6020,219,172
286,14361.00,3763.54,6981.45,583.39,135.22,0.53,2.13,3659,6937,215,101
287,14348.50,5048.49,5350.73,517.77,135.16,0.67,0.92,4981,5274,146,159
288,14345.50,2604.20,3021.73,1171.53,135.15,0.13,1.59,2471,2942,237,149
289,14335.00,7701.94,3991.29,520.10,135.10,0.67,1.04,7612,3907,168,161
290,14334.00,4444.43,7303.32,494.10,135.09,0.74,1.00,4362,7226,158,158
291,14328.50,7154.29,3570.58,535.14,135.07,0.63,1.01,7073,3494,155,153
292,14276.00,4589.22,3421.32,1313.45,134.82,0.10,1.16,4461,3312,241,207
293,14263.00,6831.24,3757.41,524.84,134.76,0.65,0.82,6767,3673,132,160
294,14228.50,6511.08,5882.03,541.63,134.60,0.61,1.76,6420,5824,192,109
295,14227.00,2892.49,5313.69,1381.73,134.59,0.09,1.28,2763,5213,258,201
296,14222.50,6329.06,2998.54,1150.90,134.57,0.13,0.78,6242,2895,162,208
297,14217.50,3944.54,2348.49,596.60,134.54,0.50,0.79,3881,2270,139,177
298,14166.50,4362.18,3771.31,1239.35,134.30,0.12,0.96,4260,3668,220,230
299,14165.50,6055.27,6878.16,598.20,134.30,0.50,1.27,5980,6802,179,141
300,14128.00,3158.29,5897.96,1351.53,134.12,0.10,1.53,3024,5832,266,174
301,14080.50,4210.16,2687.43,534.11,133.89,0.62,0.88,4136,2604,140,159
302,14072.00,5837.37,4622.37,1338.28,133.85,0.10,1.18,5738,4542,254,216
303,14058.50,7308.87,3960.20,555.57,133.79,0.57,1.07,7228,3887,173,162
304,14053.50,5861.95,2220.28,537.23,133.77,0.61,0.83,5791,2125,142,172
305,14047.00,4801.67,4685.95,672.30,133.74,0.39,1.45,4707,4627,175,121
306,14032.00,6598.17,2942.95,569.61,133.66,0.54,0.87,6525,2858,146,168
307,14030.00,6743.92,4412.59,1062.17,133.65,0.16,0.79,6644,4285,180,227
308,14007.50,4472.55,2146.30,555.09,133.55,0.57,1.38,4374,2069,182,132
309,13940.00,4383.32,5459.09,702.38,133.23,0.36,1.72,4289,5402,215,125
310,13924.00,3292.48,6461.99,528.56,133.15,0.63,1.38,3209,6402,171,124
